name,x,y
376,127.0822084,37.5344564
377,127.0778421,37.5356838
378,127.0879661,37.5321555
379,127.0687976,37.5369525
380,127.0698452,37.5335907
381,127.06852,37.5391422
382,127.06852,37.5391422
383,127.06641,37.5329402
384,127.0718265,37.5465336
385,127.0793322,37.5534426
386,127.0793322,37.5534426
387,127.0829933,37.5525197
388,127.0847031,37.569931
389,127.0704698,37.5503178
390,127.0840433,37.5596059
391,127.0835006,37.5583461
392,127.073884,37.5514706
393,127.0844637,37.558221
394,127.0838287,37.5306275
395,127.0959383,37.555062
396,127.0884558,37.5312744
397,127.0722063,37.5503861
398,127.0817732,37.5420421
399,127.0704926,37.5456878
400,127.088095,37.5652056
401,127.0790178,37.5659936
402,127.0888317,37.5322817
403,127.0789877,37.5364578
404,127.0965576,37.5422736
405,127.0728001,37.5543968
406,127.1006345,37.540931
407,127.1006752,37.5482763
408,127.1002123,37.5444243
409,127.0912558,37.5475582
410,127.0692999,37.5348621
411,127.0990096,37.5536236
412,127.08305,37.5313435
413,127.0787196,37.5666015
414,127.0719227,37.5347685
415,127.0871845,37.5489738
416,127.0831045,37.5654688
417,127.0918692,37.5364903
418,127.0755971,37.5302699
419,127.0899616,37.5672167
420,127.0977413,37.5540632
421,127.0940137,37.5374959
422,127.0709119,37.5427943
423,127.0820531,37.5629868
424,127.0827865,37.5643431
425,127.0864165,37.5574802
426,127.0849449,37.5563898
427,127.0828079,37.5582951
428,127.0843304,37.5689036
429,127.0810896,37.5700734
430,127.0801315,37.570547
431,127.0859524,37.5707608
432,127.0884527,37.5635869
433,127.0917258,37.5585384
434,127.0930924,37.5521407
435,127.0976313,37.5510878
436,127.0885293,37.5506602
437,127.0912113,37.5429146
438,127.0923145,37.5371028
439,127.0961406,37.5394441
440,127.097985,37.537314
441,127.0998456,37.5396425
442,127.0775805,37.5293409
443,127.0757129,37.5324248
444,127.0765359,37.5321393
445,127.0729905,37.5357534
446,127.0715346,37.5351613
447,127.0712045,37.5308024
448,127.0622219,37.5361129
449,127.0651455,37.5420748
450,127.0841835,37.559127
451,127.0826738,37.5574621
452,127.0820116,37.5626088
453,127.0869929,37.5687855
454,127.0887635,37.5674312
455,127.0869575,37.5649869
456,127.0885159,37.5447076
457,127.0873279,37.5416279
458,127.081727,37.5433728
459,127.0938403,37.5536072
460,127.0952157,37.5526584
461,127.0916298,37.5469253
462,127.0907057,37.5491736
463,127.0881348,37.5489951
464,127.0911575,37.5381699
465,127.0940397,37.5381147
466,127.098827,37.5406759
467,127.1024382,37.54675
468,127.08455,37.5326333
469,127.0896129,37.5322716
470,127.0885453,37.531699
471,127.0846105,37.5313049
472,127.075224,37.5307275
473,127.0749856,37.5297333
474,127.0728255,37.5334407
475,127.075078,37.5335783
476,127.0690637,37.534115
477,127.0657903,37.537195
478,127.0736154,37.553679
479,127.071393,37.5490751
480,127.0713224,37.5449304
481,127.0886433,37.5574214
482,127.0823204,37.5415896
483,127.0734695,37.5575896
484,127.0793872,37.5655326
485,127.0876585,37.5578252
486,127.0836823,37.5664875
487,127.0817739,37.5651577
488,127.0889891,37.5660972
489,127.102509,37.5478827
490,127.1016874,37.5396469
491,127.0978984,37.5439084
492,127.09663,37.5529827
493,127.0929511,37.5482646
494,127.0888541,37.5486622
495,127.0695495,37.5514516
496,127.071393,37.5490751
497,127.0830233,37.5412613
498,127.0809259,37.5369181
499,127.0866072,37.5319852
500,127.0895265,37.5331782
501,127.0823843,37.5313131
502,127.0772284,37.5302003
503,127.0692999,37.5348621
504,127.0701074,37.5347026
505,127.0721868,37.543838
506,127.0814765,37.5709584
507,127.0631878,37.536486
508,127.0668857,37.5366326
509,127.0655651,37.5435565
510,127.0849114,37.5557885
511,127.0899163,37.5588636
512,127.0824997,37.5544353
513,127.0637177,37.5358694
514,127.0897928,37.5378127
515,127.0910106,37.5373376
516,127.090813,37.5358513
517,127.093536,37.5371964
518,127.0949318,37.5534605
519,127.0886078,37.5621358
520,127.0716731,37.5546127
521,127.0913914,37.5339326
522,127.0773992,37.5664253
523,127.0789983,37.5452118
524,127.0818883,37.5567925
525,127.0841595,37.5309074
526,127.0805747,37.5659029
527,127.0947053,37.554708
